sha256,Malware Name,OS,Category
7a76e6536ba34a728e8b04a6cb20fae3b252edc0de2e7ffa1e95508194ccecb3,Agenttesla,Windows,Infostealer
239bbdddbf48ec1e375741bb0ab39dd8b251eb2ce2cf578dbf128ad3129b748f,Agenttesla,Windows,Infostealer
ab8187e1651648d7f5d1906536e0dc09680dbc18cb311ef5686fe2049659da36,Agenttesla,Windows,Infostealer
974ffbcc0cdba0f379766b343276d721e4093135923c8fa0068d129c0685a69b,Agenttesla,Windows,Infostealer
5bd009ecc08c72c1d670a8aeaf2b3c4263edb9293465f893dd3768ab3ea0ff24,Agenttesla,Windows,Infostealer
c19abc33cd9765dbb763041a38e1afb0f3ddd832d6241d75e25991053746bab8,Agenttesla,Windows,Infostealer
ecd0495dc9d61ac16df7940ed6899897c02df2f51b4c87f19f6011ac10f17a61,Agenttesla,Windows,Infostealer
174255ee4e6d74fb86b6f16eae3d0298cef64bc991fa8e6c8e9d13b958b657de,Agenttesla,Windows,Infostealer
db6e594697d85074a16f8ce893649435b356c1ae31724203df7e5463bb97d1fc,Agenttesla,Windows,Infostealer
9cedd63af7cf5f325ab345e8b107f06545be0c5902935507c786870c537a9383,Agenttesla,Windows,Infostealer
859ce543eead04b946a2d77d7d2a9342cfdfad1698fef1d442cb51fe6429eef2,Agenttesla,Windows,Infostealer
8048e53dd3e484c96e5f586ab9e4152a173364144ad9a50baa050222f61d3a9e,Agenttesla,Windows,Infostealer
bc7a5671fa742711775708fb79992eaad8427177e7de2facc98fc16e3fc3570c,Agenttesla,Windows,Infostealer
2a1357d8401a06f61576310273953cccd18f20ce7b54e1c445521775e430810f,Agenttesla,Windows,Infostealer
0d8d3c58ed2996ce243b68034817ded7fc06e4bd2a79e367f72f2020a35214d5,Agenttesla,Windows,Infostealer
b2ebb908944dcf31b253f02097b86b3e1f96fe094bbcc7c2c37718ade401991c,Agenttesla,Windows,Infostealer
b4f1081d88ac2d9a768d94a5aa3c685644835336f5642637005b4f74db407a94,Agenttesla,Windows,Infostealer
39fe44328453edb4688201f0d3c6c0d07baa65d92ee1c5e0ad496bc71d1b0c9b,Agenttesla,Windows,Infostealer
ab5354e47e271a691a05573d9bf49c20397b8e2602320a905502e83c4a1c58ee,Agenttesla,Windows,Infostealer
ae424f87ddc0913714a888f32a9412df939107b863c28e407513cf1b55db07f2,Agenttesla,Windows,Infostealer
c3453962cdff8dba0a9acb711b28847fd25ca77e5bf0a09719202a81f8fbbf1e,Agenttesla,Windows,Infostealer
92aff680ae646607e5d30fd43bfb66d8d765b7bcf7ffc0aacb65c389358fc528,Agenttesla,Windows,Infostealer
